ticker|name|short_description|long_description
0P00011STA.SI|Eastspring Investments - Japan Dynamic Fund|An equity fund focusing on dynamic growth opportunities within the Japanese market.|The Eastspring Investments - Japan Dynamic Fund is an equity fund that was launched on December 15, 2023. With a focus on dynamic growth opportunities within the Japanese market, the fund has delivered a 7.96% return in 2024. The fund carries a high risk rating according to Morningstar, and it has a significant allocation of 35% in industrials.
0P0001JJ08.SI|Blackrock Asian High Yield Bond|A fixed income fund focusing on high-yield bond opportunities across Asia.|The BlackRock Asian High Yield Bond Fund is a fixed income fund that was launched on December 1, 2017. With a strong performance of 15.03% return in 2024, the fund focuses on high-yield bond opportunities across Asia. It holds a 3-star Morningstar rating and maintains a diversified sector allocation with 35.82% in consumer cyclical, 32.46% in real estate, and 31.72% in utilities.
0P0001I4B6.SI|Allianz Global Opportunistic Bond|A fixed income fund offering broad exposure to global bond markets.|The Allianz Global Opportunistic Bond is a fixed income fund launched on December 1, 2016, offering broad exposure to global bond markets. Despite a -0.57% return in 2024, the fund has shown resilience with a 1-year cumulative return of 2.99%. It holds a 3-star Morningstar rating and has a strong focus on sovereign debt, with 56.80% of its assets allocated to government bonds, and its largest holding is in U.S. Treasury securities, comprising 8.79% of the portfolio.
0P0000Y077.SI|PIMCO GIS E SGD Hedged Income|A UCITS fund designed to provide income while managing currency risk through SGD hedging.|The PIMCO GIS E SGD Hedged Income is a UCITS fund launched on November 30, 2012. With a 2024 return of 2.56%, the fund is designed to provide income while managing currency risk through SGD hedging. Its sector exposure is led by financial institutions, with 12.37% of the portfolio allocated to banks.
0P0000Y35A|JPM Emerging Markets Dividend|An equity fund aiming to deliver income and long-term capital growth by investing in high-dividend equities across emerging markets.|The JPM Emerging Markets Dividend fund is an equity fund launched on February 24, 2017, aiming to deliver income and long-term capital growth by investing in high-dividend equities across emerging markets. In 2024, the fund achieved a return of 6.1%, with its portfolio primarily allocated to the financial sector (29.1%) and information technology (27.2%). It holds an average Morningstar Risk Rating, indicating a balanced risk profile for equity-focused investors.
0P0000K7H9|Natixis International Funds|A global equity fund offering investors a long-standing track record of performance.|The Natixis International Funds is a global equity fund established on June 21, 2001, offering investors a long-standing track record of performance. In 2024, the fund delivered a strong return of 14.52%, with a portfolio heavily weighted toward the financial services sector (35.51%). It holds an impressive 5-star Morningstar Rating, reflecting its consistent outperformance relative to peers in terms of risk-adjusted returns.
0P0000TJCX|Amundi Funds Cash USD A2 USD C|A money market fund designed to offer daily liquidity and low volatility for efficient short-term cash management.|The Amundi Funds Cash USD A2 USD C is a money market fund launched on June 24, 2011, designed to offer daily liquidity and low volatility for efficient short-term cash management. In 2024, the fund delivered a return of 5.14%. It carries a very low risk profile, making it suitable for conservative investors.
0P00000DS2|JPM Global Select Equity A|An equity fund focusing on high-conviction global stock selection with a strong tilt toward the United States.|The JPM Global Select Equity A is an equity fund launched on March 4, 2014, focusing on high-conviction global stock selection with a strong tilt toward the United States, which makes up 71.3% of its portfolio. In 2024, the fund achieved an impressive return of 15%, reflecting its active exposure to dynamic sectors like Technology – Semi & Hardware (12.7%) and Media (12.3%). It carries a high Morningstar Risk Rating, indicating potential for both elevated returns and volatility.
0P000019D5|JPMorgan Funds - America Equity Fund A|An equity fund focusing on a concentrated portfolio of U.S. companies.|The JPMorgan Funds - America Equity Fund A, launched on September 19, 2018, focuses on a concentrated portfolio of U.S. companies. In 2024, the fund delivered an outstanding return of 26.2%, driven by strong allocations to sectors such as Information Technology (25.2%) and Financials (17.5%). It carries an Above Average Morningstar Risk Rating, indicating a moderate-to-high level of volatility.
0P00008SN2.F|FTGF Royce US Smaller Companies Fund|A U.S. small-cap equity fund focusing on high-potential small-sized American companies.|The FTGF Royce US Smaller Companies Fund, launched on July 15, 2024, is a U.S. small-cap equity fund focusing on high-potential small-sized American companies. With a primary allocation to the industrials sector (28.47%), the fund delivered a 2024 return of 1.74%. It holds a High Morningstar Risk Rating, reflecting its exposure to the inherent volatility of small-cap stocks, and currently has a 2-star Morningstar Rating.
0P00006OI1.SI|Aberdeen Standard Pacific Equity Fund|An equity fund targeting growth opportunities across the Asia-Pacific region.|The Aberdeen Standard Pacific Equity Fund is an equity fund launched on October 3, 2011, targeting growth opportunities across the Asia-Pacific region. In 2024, the fund posted a solid return of 8.42%, with its portfolio primarily allocated to the financials sector (30.5%) and information technology (25.8%). It holds a 4-star Morningstar Rating and maintains a moderately aggressive risk profile, making it suitable for growth-oriented investors seeking regional exposure.
